Begrotingsjaar,Uitgaven Ontvangsten Verplichtingen,Begrotingsnummer,Naam Begroting ,Artikel nummer,Artikel,Stand ontwerpbegroting,Stand vastgestelde begroting,Stand eerste suppletoire,Stand tweede suppletoire,Realisatie
2015,V,X,Defensie,3,Taakuitvoering Landstrijdkrachten,1121002,1121002,1163172,1207670,1146024
2015,O,X,Defensie,4,Taakuitvoering Luchtstrijdkrachten,15227,15227,15759,15566,14037
2015,U,X,Defensie,4,Taakuitvoering Luchtstrijdkrachten,644308,644308,691825,697187,711856
2015,V,X,Defensie,4,Taakuitvoering Luchtstrijdkrachten,644308,644308,691825,697187,801969
2015,O,X,Defensie,5,Taakuitvoering Koninklijke Marechaussee,4590,4590,4590,5508,5540
2015,U,X,Defensie,5,Taakuitvoering Koninklijke Marechaussee,311472,311472,321891,337871,337157
2015,V,X,Defensie,5,Taakuitvoering Koninklijke Marechaussee,311472,311472,321891,337871,336732
2015,O,X,Defensie,6,Investeringen Krijgsmacht,152556,152556,189719,211795,222796
2015,U,X,Defensie,6,Investeringen Krijgsmacht,1408438,1308438,1204981,1039431,1101504
2015,V,X,Defensie,6,Investeringen Krijgsmacht,1556041,1456041,1278384,1894534,2162332
2015,O,X,Defensie,7,Ondersteuning krijgsmacht door Defensie Materieel Org,42933,42933,42933,42909,44077
2015,U,X,Defensie,7,Ondersteuning krijgsmacht door Defensie Materieel Org,742400,742400,726006,736046,758507
2015,V,X,Defensie,7,Ondersteuning krijgsmacht door Defensie Materieel Org,742400,742400,726006,736046,830487
2015,O,X,Defensie,8,Ondersteuning krijgsmacht door Cdo Dienstencentra,53764,53764,51860,54806,56903
2015,U,X,Defensie,8,Ondersteuning krijgsmacht door Cdo Dienstencentra,1037650,1037650,1052997,1047935,1051112
2015,V,X,Defensie,8,Ondersteuning krijgsmacht door Cdo Dienstencentra,1037650,1037650,1052997,1056816,1078400
2015,U,X,Defensie,9,Algemeen,102460,102460,96816,103713,84447
2015,V,X,Defensie,9,Algemeen,102460,102460,96816,105113,103254
2015,O,X,Defensie,10,Centraal apparaat,6811,6811,6818,27577,28255
2015,U,X,Defensie,10,Centraal apparaat,1599771,1599771,1614844,1558041,1527669
2015,V,X,Defensie,10,Centraal apparaat,1599771,1599771,1614844,1624681,1529741
2015,U,X,Defensie,11,Geheime uitgaven,5339,5339,5339,5355,5385
2015,V,X,Defensie,11,Geheime uitgaven,5339,5339,5339,5355,5385
2015,U,X,Defensie,12,Nominaal en onvoorzien,27337,27337,79859,103,0
2015,V,X,Defensie,12,Nominaal en onvoorzien,27337,27337,79859,103,0
2015,O,XII,Infrastructuur en Milieu,11,Integraal waterbeleid,23800,23800,23800,23800,24357
2015,U,XII,Infrastructuur en Milieu,11,Integraal waterbeleid,37847,37847,36547,35343,34852
2015,V,XII,Infrastructuur en Milieu,11,Integraal waterbeleid,30634,30634,35628,34681,32289
2015,U,XII,Infrastructuur en Milieu,12,Waterkwaliteit,6225,6225,5565,6185,5915
2015,V,XII,Infrastructuur en Milieu,12,Waterkwaliteit,4564,4564,4476,4593,4193
2015,O,XII,Infrastructuur en Milieu,13,Ruimtelijke Ontwikkeling,934,934,3824,4929,6371
2015,U,XII,Infrastructuur en Milieu,13,Ruimtelijke Ontwikkeling,194736,194236,113120,112110,112043
2015,V,XII,Infrastructuur en Milieu,13,Ruimtelijke Ontwikkeling,172802,172302,92563,96721,69162
2015,O,XII,Infrastructuur en Milieu,14,Wegen en verkeersveiligheid,6782,6782,6384,6862,2504
2015,U,XII,Infrastructuur en Milieu,14,Wegen en verkeersveiligheid,32043,32043,33138,40066,40064
2015,V,XII,Infrastructuur en Milieu,14,Wegen en verkeersveiligheid,30322,30322,32542,42172,40149
2015,O,XII,Infrastructuur en Milieu,15,OV-keten,0,0,122,0,0
2015,U,XII,Infrastructuur en Milieu,15,OV-keten,6021,6521,6480,5614,5673
2015,V,XII,Infrastructuur en Milieu,15,OV-keten,6021,6521,5217,4708,4712
2015,U,XII,Infrastructuur en Milieu,16,Spoor,28785,28785,38875,25778,24603
2015,V,XII,Infrastructuur en Milieu,16,Spoor,19709,19709,38110,51900,49388
2015,O,XII,Infrastructuur en Milieu,16,Spoor,0,0,135,0,152
2015,O,XII,Infrastructuur en Milieu,17,Luchtvaart,33109,33109,33349,33531,31354
2015,U,XII,Infrastructuur en Milieu,17,Luchtvaart,23759,23759,23120,23130,21288
2015,V,XII,Infrastructuur en Milieu,17,Luchtvaart,20617,20617,19919,21095,19220
2015,O,XII,Infrastructuur en Milieu,18,Scheepvaart en havens,0,0,141,0,0
2015,U,XII,Infrastructuur en Milieu,18,Scheepvaart en havens,4732,4732,13168,12463,10932
2015,V,XII,Infrastructuur en Milieu,18,Scheepvaart en havens,4707,4707,34093,33238,30508
2015,O,XII,Infrastructuur en Milieu,19,Klimaat,168000,168000,168000,168000,188286
2015,U,XII,Infrastructuur en Milieu,19,Klimaat,59915,59915,70905,84598,81400
2015,V,XII,Infrastructuur en Milieu,19,Klimaat,55891,55891,58325,43978,32414
2015,O,XII,Infrastructuur en Milieu,20,Lucht en geluid,0,0,0,0,169
2015,U,XII,Infrastructuur en Milieu,20,Lucht en geluid,36450,36450,36426,32270,31867
2015,V,XII,Infrastructuur en Milieu,20,Lucht en geluid,25638,25638,35421,29315,31227
2015,O,XII,Infrastructuur en Milieu,21,Duurzaamheid,0,0,0,0,6
2015,U,XII,Infrastructuur en Milieu,21,Duurzaamheid,20493,21493,19358,18595,18530
2015,V,XII,Infrastructuur en Milieu,21,Duurzaamheid,19262,20262,20986,19868,17656
2015,O,XII,Infrastructuur en Milieu,22,Omgevingsveiligheid en milieurisico's,2719,2719,12922,11793,11607
2015,U,XII,Infrastructuur en Milieu,22,Omgevingsveiligheid en milieurisico's,43846,42846,47869,30443,25225
2015,V,XII,Infrastructuur en Milieu,22,Omgevingsveiligheid en milieurisico's,42203,41203,51155,39078,30217
2015,U,XII,Infrastructuur en Milieu,23,"Meteorologie, seismologie en aardobservatie",39914,39914,40079,41033,41030
2015,V,XII,Infrastructuur en Milieu,23,"Meteorologie, seismologie en aardobservatie",40781,40781,40946,41900,42200
2015,U,XII,Infrastructuur en Milieu,24,Handhaving en toezicht,110047,110047,107114,119051,119051
2015,V,XII,Infrastructuur en Milieu,24,Handhaving en toezicht,110047,110047,107114,119051,119051
2015,U,XII,Infrastructuur en Milieu,25,Bijdrage BDU,1782405,1782405,1873406,1879591,1878691
2015,V,XII,Infrastructuur en Milieu,25,Bijdrage BDU,1807451,1807451,1807451,1813636,884538
2015,U,XII,Infrastructuur en Milieu,26,Bijdrage investeringsfondsen,6453944,6453944,6048808,5873153,5874315
2015,V,XII,Infrastructuur en Milieu,26,Bijdrage investeringsfondsen,6453944,6453944,6048808,5873153,5874315
2015,O,XII,Infrastructuur en Milieu,97,Algemeen departement,3373,3373,2273,2511,3646
2015,U,XII,Infrastructuur en Milieu,97,Algemeen departement,45445,45445,46804,50636,50901
